table_name,league_id,league_name,season,classification,verify_row_count,allwin_row_count,match_ids_only_in_verify,match_ids_only_in_allwin,common_match_ids,row_count_delta,mismatch_row_count,mismatch_types,notes,representative_ids
fact_team_match_stats,53,Ligue1,2024/2025,EXACT,1836,1836,0,0,306,0,0,,,
fact_team_match_stats,53,Ligue1,2025/2026,EXACT,1834,1834,0,0,306,0,0,,,
fact_team_match_stats,54,Bundesliga,2020/2021,EXACT,636,636,0,0,306,0,0,,,
fact_team_match_stats,54,Bundesliga,2021/2022,EXACT,756,756,0,0,306,0,0,,,
fact_team_match_stats,54,Bundesliga,2022/2023,EXACT,964,964,0,0,306,0,0,,,
fact_team_match_stats,54,Bundesliga,2023/2024,EXACT,1836,1836,0,0,306,0,0,,,
fact_team_match_stats,54,Bundesliga,2024/2025,EXACT,1836,1836,0,0,306,0,0,,,
fact_team_match_stats,54,Bundesliga,2025/2026,EXACT,1836,1836,0,0,306,0,0,,,
fact_team_match_stats,55,SerieA,2020/2021,EXACT,792,792,0,0,380,0,0,,,
fact_team_match_stats,55,SerieA,2021/2022,EXACT,768,768,0,0,380,0,0,,,
fact_team_match_stats,55,SerieA,2022/2023,EXACT,1350,1350,0,0,381,0,0,,,
fact_team_match_stats,55,SerieA,2023/2024,EXACT,2280,2280,0,0,380,0,0,,,
fact_team_match_stats,55,SerieA,2024/2025,EXACT,2280,2280,0,0,380,0,0,,,
fact_team_match_stats,55,SerieA,2025/2026,EXACT,2280,2280,0,0,380,0,0,,,
fact_team_match_stats,87,LaLiga,2020/2021,EXACT,792,792,0,0,380,0,0,,,
fact_team_match_stats,87,LaLiga,2021/2022,EXACT,768,768,0,0,380,0,0,,,
fact_team_match_stats,87,LaLiga,2022/2023,EXACT,1320,1320,0,0,380,0,0,,,
fact_team_match_stats,87,LaLiga,2023/2024,EXACT,2276,2276,0,0,380,0,0,,,
fact_team_match_stats,87,LaLiga,2024/2025,EXACT,2280,2280,0,0,380,0,0,,,
fact_team_match_stats,87,LaLiga,2025/2026,EXACT,2280,2280,0,0,380,0,0,,,
